t,input,std_recon,dsl_recon
159,-0,0.0256593,2.47649e-10
160,-0,0.0504034,7.99694e-10
161,-0,-0.0631438,-7.59895e-10
162,-0,-0.0185065,-1.17652e-09
163,-0,0.0806829,4.11759e-10
164,-0,-0.0516909,-4.36274e-10
165,-0,-0.00073163,4.58399e-10
166,-0,-0.065285,-3.80018e-10
167,-0,-0.0651716,2.04217e-11
168,-0,0.00128058,6.07643e-11
169,-0,0.0902663,4.47897e-10
170,-0,0.0520829,2.61003e-10
171,-0,0.0391263,-3.58226e-10
172,-0,-0.0416988,-3.54225e-10
173,-0,0.015409,-5.88094e-11
174,-0,-0.0227906,-1.40758e-09
175,-0,0.0587702,-3.76373e-10
176,-0,0.0309363,1.08386e-10
177,-0,-0.040957,-6.597e-10
178,-0,-0.0196392,3.67219e-10
179,-0,0.0233689,-1.1398e-09
180,-0,-0.0107721,-7.77405e-11
181,-0,-0.0481375,-5.6626e-10
182,-0,0.0145854,-7.48302e-10
183,-0,-0.0445387,-3.201e-11
184,-0,0.0125187,-4.19563e-10
185,-0,0.0124256,-2.20344e-10
186,-0,0.0272437,-3.47838e-10
187,-0,-0.0275911,4.35098e-10
188,-0,0.025658,1.42821e-11
189,-0,-0.0112307,-5.92499e-10
190,-0,0.0389778,-1.46733e-09
191,-0,0.0174984,-7.94913e-10
192,-0,0.00923597,-2.18078e-10
193,-0,-0.0362293,4.36168e-10
194,-0,-0.0218152,-4.96925e-10
195,-0,0.00972719,7.85356e-10
196,-0,0.011132,-3.2826e-10
197,-0,-0.0667215,-1.32972e-10
198,-0,0.0366206,-1.32048e-09
199,-0,0.0572074,4.30288e-10
200,-0,-0.0568572,6.35468e-10
201,-0,-0.0142221,-7.74749e-10
202,-0,0.0403441,-6.96487e-10
203,-0,-0.0462323,-6.68334e-10
204,-0,-0.012999,1.81017e-09
205,-0,-0.0501716,6.77149e-11
206,-0,0.0156533,-6.92621e-10
207,-0,0.0420828,5.67464e-10
208,-0,0.0462504,9.22588e-10
209,-0,-0.017072,-5.9248e-10
210,-0,-0.0604752,-8.14864e-10
211,-0,0.0185795,4.75054e-10
212,-0,-0.0148936,1.07959e-09
213,-0,0.0117388,-1.75693e-11
214,-0,0.0342549,-2.36639e-10
215,-0,0.00284616,-7.18616e-10
216,-0,-0.0266088,8.85325e-10
217,-0,0.0376816,9.60457e-11
218,-0,0.0508509,-8.90481e-10
219,-0,-0.00613894,3.05926e-11
220,-0,0.0648694,1.34679e-09
221,-0,-0.0869737,-1.09306e-10
222,-0,0.0522371,1.10719e-10
223,-0,0.106535,3.43195e-10
224,-0,0.0129932,8.82327e-10
225,-0,-0.0139706,-1.47577e-09
226,-0,0.0023039,1.42594e-10
227,-0,0.0943852,-1.40157e-09
228,-0,0.0850287,-8.84086e-10
229,-0,-0.0136137,8.16943e-10
230,-0,0.0393554,5.07178e-10
231,-0,2.90902e-05,3.58018e-10
232,-0,-0.0939148,-1.10099e-09
233,-0,0.0148783,1.13352e-09
234,-0,0.0156528,2.51349e-10
235,-0,0.00171201,1.07466e-09
236,-0,0.0378637,1.74141e-09
237,-0,0.0786645,7.22279e-10
238,-0,-0.00884055,-7.8102e-10
239,-0,-0.00996781,-4.60309e-10
240,-0,-0.0327372,-6.15483e-10
241,-0,0.00129836,-8.53453e-11
242,-0,0.0953445,-9.87721e-10
243,-0,0.0079785,8.45248e-10
244,-0,-0.0661768,1.72916e-10
245,-0,-0.0599737,6.2596e-10
246,-0,-0.0203852,-5.49672e-10
247,-0,-0.0693106,8.61102e-10
248,-0,0.0241623,-4.42818e-10
249,-0,0.0756051,9.82439e-11
250,-0,-0.0913697,-6.91717e-11
251,-0,0.00056349,5.1918e-10
252,-0,0.0232587,4.48315e-10
253,-0,-0.00773998,-7.99468e-10
254,-0,0.0702594,5.16579e-10
255,-0,0.11551,-7.0441e-10
256,-0,-0.0304665,6.73167e-10
257,-0,-0.0179576,-5.35799e-10
258,-0,-0.0294079,6.5415e-10
259,-0,-0.0189808,-3.07381e-10
260,-0,-0.0126139,1.05218e-09
261,-0,-0.121545,-9.48056e-10
262,-0,-0.105101,1.21899e-10
263,-0,0.102594,-1.69807e-12
264,-0,-0.0187548,-1.10456e-09
265,-0,-0.0189961,1.62084e-10
266,-0,0.0961446,-1.02384e-11
267,-0,0.000705574,-7.62488e-10
268,-0,0.0283852,-1.45382e-10
269,-0,0.0556243,3.54881e-10
270,-0,-0.0992956,7.10924e-10
271,-0,0.00873205,2.01413e-10
272,-0,-0.0435059,4.2745e-10
273,-0,0.00295416,7.67236e-10
274,-0,-0.0497553,-5.02852e-10
275,-0,0.0030221,1.03835e-09
276,-0,0.0250281,-7.57405e-11
277,-0,-0.0104823,1.24023e-09
278,-0,-0.0221462,-1.42386e-10
279,-0,-0.145623,-6.48644e-11
280,-0,0.104653,-7.85974e-11
281,-0,0.0164569,-2.4421e-10
282,-0,-0.0574982,-3.52091e-10
283,-0,0.0148591,5.40589e-11
284,-0,0.0273254,-1.50941e-10
285,-0,-0.0095962,-4.97641e-10
286,-0,0.0554426,7.63308e-11
287,-0,0.0259834,7.33599e-11
288,-0,0.0360576,-2.97372e-11
289,-0,0.0257774,4.88174e-10
290,-0,0.0571691,4.79846e-10
291,-0,0.0307551,-1.67713e-09
292,-0,0.0857638,-4.58289e-10
293,-0,-0.0246291,-8.7848e-10
294,-0,-0.0925801,-4.82789e-10
295,-0,0.0507066,-1.30348e-09
296,-0,-0.0160795,-2.26217e-10
297,-0,-0.0059164,-3.98594e-10
298,-0,-0.0628194,-8.06075e-10
299,-0,0.0641382,-4.5504e-10
300,-0,-0.0569674,7.77694e-10
301,-0,-0.000832419,-3.22738e-10
302,-0,-0.019307,-9.58835e-11
303,-0,0.0909857,-5.62977e-10
304,-0,0.0506294,1.778e-10
305,-0,0.0387895,-3.66077e-10
306,-0,-0.0134235,-1.65876e-09
307,-0,0.0574314,-3.33192e-10
308,-0,0.0418925,-5.63559e-10
309,-0,0.000163847,4.26595e-10
310,-0,-0.0202546,4.63839e-10
311,-0,0.0308457,-2.12749e-09
312,-0,-0.0227136,2.00016e-10
313,-0,0.0249562,1.60434e-09
314,-0,-0.0120756,-9.64066e-10
315,-0,0.0166109,-1.05061e-09
316,-0,0.00766794,5.4061e-10
317,-0,0.0323028,-3.43548e-10
318,-0,0.0955066,-6.04253e-10
